sample_id,pathway_name,max_prob,mean_prob,n_pairs,partners,directions,rank
ALk1post,MK,2.2374025598503534e-5,1.983580397643668e-6,104,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; Macrophage; MAIT; Mature B cells class able to switch; Mature B cells class switched; Myeloid Dendritic Cells; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; pre-mDC; pre-pDC; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,13
ALk1post,PECAM1,2.1930438207351616e-5,5.598939374144094e-6,26,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD8_Naive; cDC2; Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; Myeloid Dendritic Cells; NK cells_CD56-_CD16+_cytokine; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune,14
ALk1post,CCL,2.1019005588037347e-5,3.2898945806260046e-6,28,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_Naive; CD8_CM; CD8_TEMRA; cDC2; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; Hematopoietic stem cells_CD133+ CD34dim; Macrophage; MAIT; Myeloid Dendritic Cells; Naive B cells; pDC; pre-mDC; pre-pDC; Treg,Immune->Plasma; Plasma->Immune,15
ALk1post,ICAM,1.795392727381057e-5,4.575130249029662e-6,53,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); MAIT; Myeloid Dendritic Cells; NK cells_CD56-_CD16+_cytokine; pDC; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune,16
ALk1post,SELPLG,1.718206568430424e-5,8.794776690483222e-6,10,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; cDC2; Hematopoietic stem cells_CD133+ CD34dim; Myeloid Dendritic Cells; pDC; pre-mDC; pre-pDC,Plasma->Immune,17
ALk1post,RESISTIN,1.4465337210386992e-5,1.0669379467080983e-5,2,CD14 Mono_dendritic-like1; Granulocytes (Neutrophils),Immune->Plasma,18
ALk1post,Prostaglandin,1.1961196328300037e-5,1.8307962512353195e-6,50,CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; gdT; Hematopoietic stem cells_CD133+ CD34dim; MAIT; Myeloid Dendritic Cells; NK cells_CD56-_CD16+_cytokine; pDC; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune,19
ALk1post,MHC-II,8.0831824433288e-6,2.254258129695288e-6,27,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; cDC2; Erythroid_CD34+ CD71+ GlyA-; Macrophage; Myeloid Dendritic Cells; NK cells_CD56-_CD16+_cytokine; pDC; pre-mDC; Treg,Plasma->Immune,20
ALk1pre,MHC-I,0.001667384,1.4920973965792193e-4,120,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; gdT; MAIT; Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,1
ALk1pre,MIF,7.708556871451946e-4,1.519740623900394e-4,75,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34+ CD71+ GlyA-; gdT; Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,2
